,src1,src2,src3,src4,src5,src6,src7,src8,profile,ch,mass,quantile,sigma_v
135,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100,0.05,4.050305647379949e-26
136,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100,0.32,5.350981933113924e-26
137,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100,0.5,6.01574135736614e-26
138,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100,0.68,6.746703711302415e-26
139,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100,0.95,9.623707367219164e-26
140,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,200,0.05,2.817474295174597e-26
141,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,200,0.32,3.5047317473925955e-26
142,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,200,0.5,3.832147685403481e-26
143,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,200,0.68,4.236946737037188e-26
144,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,200,0.95,5.671608490574904e-26
145,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,500,0.05,3.26713122412844e-26
146,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,500,0.32,4.0452636402702375e-26
147,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,500,0.5,4.442268069854293e-26
148,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,500,0.68,5.081177817729593e-26
149,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,500,0.95,6.791433760114499e-26
150,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,1000,0.05,3.9895975198182556e-26
151,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,1000,0.32,5.348198748814562e-26
152,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,1000,0.5,6.040757123344514e-26
153,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,1000,0.68,6.762801292422061e-26
154,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,1000,0.95,9.607286324902768e-26
155,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,5000,0.05,7.728359993753681e-26
156,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,5000,0.32,1.0940265908311568e-25
157,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,5000,0.5,1.2926984340020468e-25
158,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,5000,0.68,1.4805660133911304e-25
159,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,5000,0.95,2.195901432293434e-25
160,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,10000,0.05,1.1875551912043203e-25
161,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,10000,0.32,1.742988782958617e-25
162,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,10000,0.5,2.02657643366132e-25
163,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,10000,0.68,2.3917026933796944e-25
164,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,10000,0.95,3.6418069230438352e-25
165,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,50000,0.05,5.355314674299683e-25
166,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,50000,0.32,8.182382494029863e-25
167,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,50000,0.5,1.0044915041227895e-24
168,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,50000,0.68,1.1717719833140988e-24
169,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,50000,0.95,1.922220747950484e-24
170,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100000,0.05,1.3951484527601538e-24
171,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100000,0.32,2.197406016116245e-24
172,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100000,0.5,2.650898727169566e-24
173,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100000,0.68,3.093790008331416e-24
174,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Burkert,tau,100000,0.95,5.3196096164296386e-24
175,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100,0.05,4.9762475396912986e-24
176,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100,0.32,7.156551707832782e-24
177,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100,0.5,8.238639766631224e-24
178,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100,0.68,9.446330119183557e-24
179,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,100,0.95,1.445168807928235e-23
180,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,200,0.05,7.567072068510641e-25
181,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,200,0.32,1.1155752485888327e-24
182,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,200,0.5,1.3154196308275617e-24
183,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,200,0.68,1.5472431180607126e-24
184,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,200,0.95,2.5716407484902795e-24
185,UMaII,UMi,DraI,CBe,Wil1,Scl,RetII,SgrII,Einasto,W,500,0.05,4.275749826240955e-25
