name,jfactor,profile,ch,mass,sigma_v
Scl,0.26585967012749673,Einasto,b,1000,1.68083205877542e-23
Scl,0.26585967012749673,Einasto,b,2000,1.333017800047349e-23
Scl,0.26585967012749673,Einasto,b,3000,1.218790484453253e-23
Scl,0.26585967012749673,Einasto,b,5000,1.2528265494902263e-23
Scl,0.26585967012749673,Einasto,b,7000,1.3879089601451903e-23
Scl,0.26585967012749673,Einasto,b,10000,1.6516096937634206e-23
Scl,0.26585967012749673,Einasto,b,20000,2.6095339300439998e-23
Scl,0.26585967012749673,Einasto,b,30000,3.51909344944059e-23
Scl,0.26585967012749673,Einasto,b,50000,5.154458250386088e-23
Scl,0.26585967012749673,Einasto,b,100000,8.874002126789501e-23
Scl,0.26585967012749673,Einasto,b,70,2.994429891483416e-22
Scl,0.26585967012749673,Einasto,b,100,1.073498472753444e-22
Scl,0.26585967012749673,Einasto,b,200,3.1513930529920546e-23
Scl,0.26585967012749673,Einasto,b,500,1.614236137503053e-23
Scl,0.26585967012749673,Einasto,b,800,1.5409412997214622e-23
Scl,0.26585967012749673,Einasto,b,1000,1.700318107269649e-23
Scl,0.26585967012749673,Einasto,b,2000,2.0480354612741554e-23
Scl,0.26585967012749673,Einasto,b,3000,2.714502119214547e-23
Scl,0.26585967012749673,Einasto,b,5000,2.937157884311025e-23
Scl,0.26585967012749673,Einasto,b,10000,3.572667748651969e-23
Scl,0.26585967012749673,Einasto,b,20000,3.647984431410705e-23
Scl,0.26585967012749673,Einasto,b,30000,3.9636344359162543e-23
Scl,0.26585967012749673,Einasto,b,50000,4.7867063821371425e-23
Scl,0.26585967012749673,Einasto,b,100000,6.857319213117574e-23
Scl,0.26585967012749673,Einasto,b,70,1.835249364039784e-22
Scl,0.26585967012749673,Einasto,b,100,6.078281042683116e-23
Scl,0.26585967012749673,Einasto,b,200,1.4477700281045657e-23
Scl,0.26585967012749673,Einasto,b,500,6.1655651440940056e-24
Scl,0.26585967012749673,Einasto,b,800,5.596625334392558e-24
Scl,0.26585967012749673,Einasto,b,1000,5.7800635846799416e-24
Scl,0.26585967012749673,Einasto,b,2000,8.19586815389484e-24
Scl,0.26585967012749673,Einasto,b,3000,1.1273174575375617e-23
Scl,0.26585967012749673,Einasto,b,5000,1.6410314864905826e-23
Scl,0.26585967012749673,Einasto,b,7000,1.927398071408603e-23
Scl,0.26585967012749673,Einasto,b,10000,2.1229353739340397e-23
Scl,0.26585967012749673,Einasto,b,20000,2.4064448306542523e-23
Scl,0.26585967012749673,Einasto,b,30000,2.785151723970594e-23
Scl,0.26585967012749673,Einasto,b,50000,3.675202855368542e-23
Scl,0.26585967012749673,Einasto,b,100000,6.171124743232676e-23
Scl,0.26585967012749673,Einasto,b,70,1.8358826177242566e-22
Scl,0.26585967012749673,Einasto,b,100,5.949234167612227e-23
Scl,0.26585967012749673,Einasto,b,200,1.454865445842152e-23
Scl,0.26585967012749673,Einasto,b,500,6.5642309608765055e-24
Scl,0.26585967012749673,Einasto,b,800,6.5530085436846745e-24
Scl,0.26585967012749673,Einasto,b,1000,7.27371704377983e-24
Scl,0.26585967012749673,Einasto,b,2000,1.3985016775347166e-23
Scl,0.26585967012749673,Einasto,b,3000,2.0527829267109793e-23
Scl,0.26585967012749673,Einasto,b,5000,2.6653581397031234e-23
Scl,0.26585967012749673,Einasto,b,7000,2.6619853739822776e-23
Scl,0.26585967012749673,Einasto,b,10000,2.6989372350412425e-23
Scl,0.26585967012749673,Einasto,b,20000,2.8020124420547433e-23
Scl,0.26585967012749673,Einasto,b,30000,3.262533076043236e-23
Scl,0.26585967012749673,Einasto,b,50000,4.586537368602591e-23
Scl,0.26585967012749673,Einasto,b,100000,8.919644888997173e-23
Scl,0.26585967012749673,Einasto,b,70,2.43050886782202e-22
Scl,0.26585967012749673,Einasto,b,100,7.69514535765836e-23
Scl,0.26585967012749673,Einasto,b,200,1.8837664655005114e-23
Scl,0.26585967012749673,Einasto,b,500,7.981446115577953e-24
Scl,0.26585967012749673,Einasto,b,800,7.092328968926012e-24
Scl,0.26585967012749673,Einasto,b,1000,7.222840978041799e-24
Scl,0.26585967012749673,Einasto,b,2000,8.87834112886774e-24
Scl,0.26585967012749673,Einasto,b,3000,1.0525972032413838e-23
Scl,0.26585967012749673,Einasto,b,5000,1.2977152722092278e-23
Scl,0.26585967012749673,Einasto,b,7000,1.5136087683820047e-23
Scl,0.26585967012749673,Einasto,b,10000,1.8306106506589458e-23
Scl,0.26585967012749673,Einasto,b,20000,3.0222387159437146e-23
Scl,0.26585967012749673,Einasto,b,30000,4.250207173612004e-23
Scl,0.26585967012749673,Einasto,b,50000,6.459243676409938e-23
Scl,0.26585967012749673,Einasto,b,100000,1.1318181917417085e-22
Scl,0.26585967012749673,Einasto,b,70,6.065221434900887e-22
Scl,0.26585967012749673,Einasto,b,100,2.382823594256909e-22
Scl,0.26585967012749673,Einasto,b,200,6.78806321522889e-23
Scl,0.26585967012749673,Einasto,b,800,1.6909002473313455e-23
Scl,0.26585967012749673,Einasto,b,1000,1.4498335784326834e-23
Scl,0.26585967012749673,Einasto,b,2000,1.1885704805565568e-23
Scl,0.26585967012749673,Einasto,b,3000,1.2421742625240727e-23
Scl,0.26585967012749673,Einasto,b,5000,1.4814256680030834e-23
Scl,0.26585967012749673,Einasto,b,7000,1.7219485262053405e-23
Scl,0.26585967012749673,Einasto,b,10000,2.0788053745028864e-23
Scl,0.26585967012749673,Einasto,b,20000,3.3324861851524046e-23
Scl,0.26585967012749673,Einasto,b,30000,4.7323246787260124e-23
Scl,0.26585967012749673,Einasto,b,50000,7.725729328968043e-23
Scl,0.26585967012749673,Einasto,b,100000,1.495123076507785e-22
Scl,0.26585967012749673,Einasto,b,70,1.569855619695692e-22
Scl,0.26585967012749673,Einasto,b,100,6.225645652890116e-23
Scl,0.26585967012749673,Einasto,b,200,1.812934825396927e-23
Scl,0.26585967012749673,Einasto,b,500,8.923815363994337e-24
Scl,0.26585967012749673,Einasto,b,800,8.398613752237608e-24
Scl,0.26585967012749673,Einasto,b,1000,8.52209281752436e-24
Scl,0.26585967012749673,Einasto,b,2000,1.0639290442819809e-23
Scl,0.26585967012749673,Einasto,b,3000,1.3957492733267595e-23
Scl,0.26585967012749673,Einasto,b,5000,2.0577201116366256e-23
Scl,0.26585967012749673,Einasto,b,7000,2.5873905793799888e-23
Scl,0.26585967012749673,Einasto,b,10000,2.9656653700127914e-23
Scl,0.26585967012749673,Einasto,b,20000,3.609342057019118e-23
Scl,0.26585967012749673,Einasto,b,30000,3.985304874587689e-23
