,src1,src2,profile,ch,mass,quantile,sigma_v
172,CBe,Wil1,Burkert,tau,100000,0.5,1.4018268419873934e-24
173,CBe,Wil1,Burkert,tau,100000,0.68,1.706021083585747e-24
174,CBe,Wil1,Burkert,tau,100000,0.95,2.696166402673333e-24
175,CBe,Wil1,Einasto,W,100,0.05,1.3720149877247702e-24
176,CBe,Wil1,Einasto,W,100,0.32,2.0757204370710113e-24
177,CBe,Wil1,Einasto,W,100,0.5,2.465435445349667e-24
178,CBe,Wil1,Einasto,W,100,0.68,2.9054082833304272e-24
179,CBe,Wil1,Einasto,W,100,0.95,4.284905953221893e-24
180,CBe,Wil1,Einasto,W,200,0.05,3.902701918258925e-25
181,CBe,Wil1,Einasto,W,200,0.32,5.989478565549679e-25
182,CBe,Wil1,Einasto,W,200,0.5,7.06442216824714e-25
183,CBe,Wil1,Einasto,W,200,0.68,8.423280360187055e-25
184,CBe,Wil1,Einasto,W,200,0.95,1.2434225731268771e-24
185,CBe,Wil1,Einasto,W,500,0.05,2.8427439012561422e-25
186,CBe,Wil1,Einasto,W,500,0.32,4.191895866891075e-25
187,CBe,Wil1,Einasto,W,500,0.5,5.0175428085943115e-25
188,CBe,Wil1,Einasto,W,500,0.68,5.9290937356174165e-25
189,CBe,Wil1,Einasto,W,500,0.95,9.056796747543274e-25
190,CBe,Wil1,Einasto,W,1000,0.05,3.047177892823775e-25
191,CBe,Wil1,Einasto,W,1000,0.32,4.481855758066036e-25
192,CBe,Wil1,Einasto,W,1000,0.5,5.355397039039602e-25
193,CBe,Wil1,Einasto,W,1000,0.68,6.483723125095786e-25
194,CBe,Wil1,Einasto,W,1000,0.95,9.908650929673431e-25
195,CBe,Wil1,Einasto,W,5000,0.05,4.959350706529783e-25
196,CBe,Wil1,Einasto,W,5000,0.32,7.873364718719007e-25
197,CBe,Wil1,Einasto,W,5000,0.5,9.42865018961532e-25
198,CBe,Wil1,Einasto,W,5000,0.68,1.12877702242023e-24
199,CBe,Wil1,Einasto,W,5000,0.95,1.823548984891943e-24
200,CBe,Wil1,Einasto,W,10000,0.05,7.835127122477488e-25
201,CBe,Wil1,Einasto,W,10000,0.32,1.2433158801784191e-24
202,CBe,Wil1,Einasto,W,10000,0.5,1.4923601231186306e-24
203,CBe,Wil1,Einasto,W,10000,0.68,1.797481489071223e-24
204,CBe,Wil1,Einasto,W,10000,0.95,2.9044476600062312e-24
205,CBe,Wil1,Einasto,W,50000,0.05,2.8490932225205907e-24
206,CBe,Wil1,Einasto,W,50000,0.32,4.516576089698663e-24
207,CBe,Wil1,Einasto,W,50000,0.5,5.526903620382055e-24
208,CBe,Wil1,Einasto,W,50000,0.68,6.820887737457292e-24
209,CBe,Wil1,Einasto,W,50000,0.95,1.123225534852975e-23
210,CBe,Wil1,Einasto,W,100000,0.05,5.512721359863114e-24
211,CBe,Wil1,Einasto,W,100000,0.32,9.03854097143832e-24
212,CBe,Wil1,Einasto,W,100000,0.5,1.0861353696129304e-23
213,CBe,Wil1,Einasto,W,100000,0.68,1.3433626536283257e-23
214,CBe,Wil1,Einasto,W,100000,0.95,2.210875976803641e-23
215,CBe,Wil1,Einasto,b,70,0.05,3.8716326362276266e-24
216,CBe,Wil1,Einasto,b,70,0.32,5.8049569383489964e-24
217,CBe,Wil1,Einasto,b,70,0.5,6.894952664677127e-24
218,CBe,Wil1,Einasto,b,70,0.68,8.173574098977241e-24
219,CBe,Wil1,Einasto,b,70,0.95,1.255970340362964e-23
220,CBe,Wil1,Einasto,b,100,0.05,1.666544136145459e-24
221,CBe,Wil1,Einasto,b,100,0.32,2.5223082560039434e-24
222,CBe,Wil1,Einasto,b,100,0.5,2.986458194545966e-24
223,CBe,Wil1,Einasto,b,100,0.68,3.5230027747778686e-24
224,CBe,Wil1,Einasto,b,100,0.95,5.3587482494407e-24
225,CBe,Wil1,Einasto,b,200,0.05,6.049180318220974e-25
226,CBe,Wil1,Einasto,b,200,0.32,9.173133588108703e-25
227,CBe,Wil1,Einasto,b,200,0.5,1.0801814614204363e-24
228,CBe,Wil1,Einasto,b,200,0.68,1.2726465861014114e-24
229,CBe,Wil1,Einasto,b,200,0.95,1.9195659378629714e-24
230,CBe,Wil1,Einasto,b,500,0.05,3.564318934150489e-25
231,CBe,Wil1,Einasto,b,500,0.32,5.431259904977623e-25
232,CBe,Wil1,Einasto,b,500,0.5,6.437997078026728e-25
233,CBe,Wil1,Einasto,b,500,0.68,7.62399257935679e-25
234,CBe,Wil1,Einasto,b,500,0.95,1.1484205955214071e-24
235,CBe,Wil1,Einasto,b,1000,0.05,3.498065583687885e-25
236,CBe,Wil1,Einasto,b,1000,0.32,5.205288401020537e-25
237,CBe,Wil1,Einasto,b,1000,0.5,6.209473520376805e-25
238,CBe,Wil1,Einasto,b,1000,0.68,7.341303002067633e-25
239,CBe,Wil1,Einasto,b,1000,0.95,1.1290094388584146e-24
240,CBe,Wil1,Einasto,b,5000,0.05,6.020448748691572e-25
241,CBe,Wil1,Einasto,b,5000,0.32,9.163110656894863e-25
242,CBe,Wil1,Einasto,b,5000,0.5,1.1074470569632127e-24
243,CBe,Wil1,Einasto,b,5000,0.68,1.3092136842988358e-24
