,name,name2,name3,name4,name5,name6,name7,name8,profile,ch,mass,quantile,sigma_v
63,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.68,2.141739279102932e-24
64,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,1000,0.95,5.005536645295693e-24
65,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.05,1.7402654915978678e-24
66,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.32,2.711135126466613e-24
67,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.5,3.3227014128459796e-24
68,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.68,4.003116019126563e-24
69,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,5000,0.95,9.146540841934966e-24
70,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.05,2.2757112265941526e-24
71,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.32,3.968402440801726e-24
72,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.5,4.7747177812950745e-24
73,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.68,6.01715346569138e-24
74,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,10000,0.95,1.198452356607577e-23
75,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.05,7.503239675223736e-24
76,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.32,1.1978118360502866e-23
77,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.5,1.434144515999751e-23
78,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.68,1.8958309617848438e-23
79,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,50000,0.95,3.896888206675367e-23
80,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.05,1.307607303588341e-23
81,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.32,2.1009484274560942e-23
82,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.5,2.719279843866888e-23
83,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.68,3.454581499127074e-23
84,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,b,100000,0.95,5.884694579593603e-23
85,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,70,0.05,1.1998954433652002e-24
86,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,70,0.32,2.0088740263569352e-24
87,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,70,0.5,2.289915033945286e-24
88,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,70,0.68,2.7662728650738925e-24
89,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,70,0.95,5.146270369211484e-24
90,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.05,9.858896814402058e-25
91,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.32,1.3565145898101811e-24
92,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.5,1.6579212003104154e-24
93,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.68,2.3427995522210315e-24
94,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.95,4.402567373259389e-24
95,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.05,8.268643815630603e-25
96,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.32,1.3057415881030543e-24
97,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.5,1.6851773700652867e-24
98,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.68,2.333364062174389e-24
99,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.95,3.869207072639945e-24
100,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.05,1.195343172682086e-24
101,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.32,1.878050546036783e-24
102,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.5,2.1900188765950625e-24
103,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.68,2.6479085208193703e-24
104,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.95,4.740185008377292e-24
105,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.05,1.351218465618338e-24
106,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.32,2.488274375209684e-24
107,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.5,2.7816283875007754e-24
108,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.68,3.3253427386585e-24
