,name,name2,profile,ch,mass,quantile,sigma_v
165,DraI,UMi,Einasto,tau,50000,0.05,8.834181931012808e-24
166,DraI,UMi,Einasto,tau,50000,0.32,1.4343374215668457e-23
167,DraI,UMi,Einasto,tau,50000,0.5,1.764377216196803e-23
168,DraI,UMi,Einasto,tau,50000,0.68,2.159320443259148e-23
169,DraI,UMi,Einasto,tau,50000,0.95,4.37789648961368e-23
170,DraI,UMi,Einasto,tau,100000,0.05,2.259943919469325e-23
171,DraI,UMi,Einasto,tau,100000,0.32,3.9305491729676274e-23
172,DraI,UMi,Einasto,tau,100000,0.5,4.925240277260517e-23
173,DraI,UMi,Einasto,tau,100000,0.68,5.834328736044383e-23
174,DraI,UMi,Einasto,tau,100000,0.95,1.0708933530474857e-22
