,name,profile,ch,mass,quantile,sigma_v
998,UMaII,Einasto,mu,50000,0.68,9.479491617759107e-22
999,UMaII,Einasto,mu,50000,0.95,1.9444498306047067e-21
1000,UMaII,Einasto,mu,100000,0.05,8.089738922089448e-22
1001,UMaII,Einasto,mu,100000,0.32,1.3940133029112694e-21
1002,UMaII,Einasto,mu,100000,0.5,1.8902381169396527e-21
1003,UMaII,Einasto,mu,100000,0.68,2.705122888648596e-21
1004,UMaII,Einasto,mu,100000,0.95,6.0364792250595795e-21
1005,UMaII,Einasto,tau,70,0.05,2.1593112588560263e-24
1006,UMaII,Einasto,tau,70,0.32,3.736171871842574e-24
1007,UMaII,Einasto,tau,70,0.5,4.892409842973712e-24
1008,UMaII,Einasto,tau,70,0.68,6.658731642349163e-24
1009,UMaII,Einasto,tau,70,0.95,1.2904455705166303e-23
1010,UMaII,Einasto,tau,100,0.05,1.5750001420674813e-24
1011,UMaII,Einasto,tau,100,0.32,2.7911746140090512e-24
1012,UMaII,Einasto,tau,100,0.5,3.623057547559531e-24
1013,UMaII,Einasto,tau,100,0.68,5.007672876961665e-24
1014,UMaII,Einasto,tau,100,0.95,1.149774302828453e-23
1015,UMaII,Einasto,tau,200,0.05,1.2547165312500783e-24
1016,UMaII,Einasto,tau,200,0.32,2.3184860658847772e-24
1017,UMaII,Einasto,tau,200,0.5,3.2540272879176543e-24
1018,UMaII,Einasto,tau,200,0.68,4.1924408648148475e-24
1019,UMaII,Einasto,tau,200,0.95,1.0054960359651779e-23
1020,UMaII,Einasto,tau,500,0.05,1.5995015589221052e-24
1021,UMaII,Einasto,tau,500,0.32,2.8058464378716203e-24
1022,UMaII,Einasto,tau,500,0.5,3.8290553306615194e-24
1023,UMaII,Einasto,tau,500,0.68,5.353287741238664e-24
1024,UMaII,Einasto,tau,500,0.95,1.3046805000387716e-23
1025,UMaII,Einasto,tau,1000,0.05,2.184856220771466e-24
1026,UMaII,Einasto,tau,1000,0.32,4.073469757509964e-24
1027,UMaII,Einasto,tau,1000,0.5,5.3464088390877834e-24
1028,UMaII,Einasto,tau,1000,0.68,7.400340148017393e-24
1029,UMaII,Einasto,tau,1000,0.95,1.720229659554813e-23
1030,UMaII,Einasto,tau,5000,0.05,5.084916244826391e-24
1031,UMaII,Einasto,tau,5000,0.32,9.016370230428809e-24
1032,UMaII,Einasto,tau,5000,0.5,1.1730451272317084e-23
1033,UMaII,Einasto,tau,5000,0.68,1.599125995501654e-23
1034,UMaII,Einasto,tau,5000,0.95,3.842646402098297e-23
1035,UMaII,Einasto,tau,10000,0.05,8.578467313560223e-24
1036,UMaII,Einasto,tau,10000,0.32,1.4733047094291443e-23
1037,UMaII,Einasto,tau,10000,0.5,1.940602246702528e-23
1038,UMaII,Einasto,tau,10000,0.68,2.6276481105237448e-23
1039,UMaII,Einasto,tau,10000,0.95,6.86955512672057e-23
1040,UMaII,Einasto,tau,50000,0.05,4.891025104783105e-23
1041,UMaII,Einasto,tau,50000,0.32,8.973358423306941e-23
1042,UMaII,Einasto,tau,50000,0.5,1.2335379107425013e-22
1043,UMaII,Einasto,tau,50000,0.68,1.689755549317588e-22
1044,UMaII,Einasto,tau,50000,0.95,3.487789000638088e-22
1045,UMaII,Einasto,tau,100000,0.05,1.3453434662514682e-22
1046,UMaII,Einasto,tau,100000,0.32,2.3329005600825246e-22
1047,UMaII,Einasto,tau,100000,0.5,3.083707486172412e-22
1048,UMaII,Einasto,tau,100000,0.68,4.145287816997192e-22
1049,UMaII,Einasto,tau,100000,0.95,7.77726267187427e-22
