,name,name2,profile,ch,mass,quantile,tau
162,DraI,UMi,Einasto,tau,10000,0.5,2.710309350255366e+27
163,DraI,UMi,Einasto,tau,10000,0.68,3.3782008894011826e+27
164,DraI,UMi,Einasto,tau,10000,0.95,5.990260440234296e+27
165,DraI,UMi,Einasto,tau,50000,0.05,8.758740016450816e+26
166,DraI,UMi,Einasto,tau,50000,0.32,1.7473784335724325e+27
167,DraI,UMi,Einasto,tau,50000,0.5,2.2896807658413186e+27
168,DraI,UMi,Einasto,tau,50000,0.68,2.985994736186347e+27
169,DraI,UMi,Einasto,tau,50000,0.95,5.107849608036691e+27
170,DraI,UMi,Einasto,tau,100000,0.05,6.32096550492034e+26
171,DraI,UMi,Einasto,tau,100000,0.32,1.2723369770682326e+27
172,DraI,UMi,Einasto,tau,100000,0.5,1.6899855679784732e+27
173,DraI,UMi,Einasto,tau,100000,0.68,2.2067417110131528e+27
174,DraI,UMi,Einasto,tau,100000,0.95,3.666139970943967e+27
