,src1,src2,profile,ch,mass,quantile,tau
198,UMi,CBe,Einasto,W,500,0.68,2.21155957573693e+27
199,UMi,CBe,Einasto,W,500,0.95,2.655193558947098e+27
200,UMi,CBe,Einasto,W,1000,0.05,2.401353231901952e+27
201,UMi,CBe,Einasto,W,1000,0.32,2.842997872104894e+27
202,UMi,CBe,Einasto,W,1000,0.5,3.0310824462063257e+27
203,UMi,CBe,Einasto,W,1000,0.68,3.2267855255014244e+27
204,UMi,CBe,Einasto,W,1000,0.95,3.85088492510235e+27
205,UMi,CBe,Einasto,W,5000,0.05,4.6843803843913535e+27
206,UMi,CBe,Einasto,W,5000,0.32,5.478409803774039e+27
207,UMi,CBe,Einasto,W,5000,0.5,5.806981028763258e+27
208,UMi,CBe,Einasto,W,5000,0.68,6.148931383576381e+27
209,UMi,CBe,Einasto,W,5000,0.95,6.834423250145837e+27
210,UMi,CBe,Einasto,W,10000,0.05,5.40506428671591e+27
211,UMi,CBe,Einasto,W,10000,0.32,6.298197891940037e+27
212,UMi,CBe,Einasto,W,10000,0.5,6.64871142113166e+27
213,UMi,CBe,Einasto,W,10000,0.68,6.96759298223083e+27
214,UMi,CBe,Einasto,W,10000,0.95,7.589860648822816e+27
215,UMi,CBe,Einasto,W,50000,0.05,6.714151654042876e+27
216,UMi,CBe,Einasto,W,50000,0.32,7.5637039531756e+27
217,UMi,CBe,Einasto,W,50000,0.5,7.789730141347243e+27
218,UMi,CBe,Einasto,W,50000,0.68,8.014174943496551e+27
219,UMi,CBe,Einasto,W,50000,0.95,8.453320048480129e+27
220,UMi,CBe,Einasto,W,100000,0.05,6.871165491993157e+27
221,UMi,CBe,Einasto,W,100000,0.32,7.702503944545802e+27
222,UMi,CBe,Einasto,W,100000,0.5,7.94089315704189e+27
223,UMi,CBe,Einasto,W,100000,0.68,8.160198609040906e+27
224,UMi,CBe,Einasto,W,100000,0.95,8.543761428444243e+27
225,UMi,CBe,Einasto,b,70,0.05,2.16367828593877e+25
226,UMi,CBe,Einasto,b,70,0.32,2.558713183454662e+25
227,UMi,CBe,Einasto,b,70,0.5,2.8151731887826383e+25
228,UMi,CBe,Einasto,b,70,0.68,3.156202591661431e+25
229,UMi,CBe,Einasto,b,70,0.95,4.20164544341525e+25
230,UMi,CBe,Einasto,b,100,0.05,7.4829240877985086e+25
231,UMi,CBe,Einasto,b,100,0.32,8.884854663338223e+25
232,UMi,CBe,Einasto,b,100,0.5,9.677845531589544e+25
233,UMi,CBe,Einasto,b,100,0.68,1.061850328512736e+26
234,UMi,CBe,Einasto,b,100,0.95,1.3863906231723669e+26
235,UMi,CBe,Einasto,b,200,0.05,3.280924729926634e+26
236,UMi,CBe,Einasto,b,200,0.32,4.263496241469004e+26
237,UMi,CBe,Einasto,b,200,0.5,4.755834840830959e+26
238,UMi,CBe,Einasto,b,200,0.68,5.239293827775301e+26
239,UMi,CBe,Einasto,b,200,0.95,6.794323937696248e+26
240,UMi,CBe,Einasto,b,500,0.05,1.3528422846362518e+27
241,UMi,CBe,Einasto,b,500,0.32,1.5742073161811244e+27
242,UMi,CBe,Einasto,b,500,0.5,1.7093137324097853e+27
243,UMi,CBe,Einasto,b,500,0.68,1.8795263112976813e+27
244,UMi,CBe,Einasto,b,500,0.95,2.312628106578877e+27
245,UMi,CBe,Einasto,b,1000,0.05,2.2603441875182136e+27
246,UMi,CBe,Einasto,b,1000,0.32,2.680266001295649e+27
247,UMi,CBe,Einasto,b,1000,0.5,2.887569705396752e+27
248,UMi,CBe,Einasto,b,1000,0.68,3.1317665302085484e+27
249,UMi,CBe,Einasto,b,1000,0.95,3.677387033522798e+27
250,UMi,CBe,Einasto,b,5000,0.05,4.254553224771951e+27
251,UMi,CBe,Einasto,b,5000,0.32,4.8752438613258175e+27
252,UMi,CBe,Einasto,b,5000,0.5,5.186141097858e+27
253,UMi,CBe,Einasto,b,5000,0.68,5.466624559153365e+27
254,UMi,CBe,Einasto,b,5000,0.95,6.151779900495417e+27
255,UMi,CBe,Einasto,b,10000,0.05,5.100745511627688e+27
256,UMi,CBe,Einasto,b,10000,0.32,5.89610297093159e+27
257,UMi,CBe,Einasto,b,10000,0.5,6.246256765940679e+27
258,UMi,CBe,Einasto,b,10000,0.68,6.552843635964848e+27
259,UMi,CBe,Einasto,b,10000,0.95,7.175530679788108e+27
260,UMi,CBe,Einasto,b,50000,0.05,7.307525313932494e+27
261,UMi,CBe,Einasto,b,50000,0.32,8.079659646895778e+27
262,UMi,CBe,Einasto,b,50000,0.5,8.281757294769919e+27
263,UMi,CBe,Einasto,b,50000,0.68,8.441123239688449e+27
264,UMi,CBe,Einasto,b,50000,0.95,8.760011118241367e+27
265,UMi,CBe,Einasto,b,100000,0.05,7.866697199782148e+27
266,UMi,CBe,Einasto,b,100000,0.32,8.422505491224382e+27
267,UMi,CBe,Einasto,b,100000,0.5,8.582233713603827e+27
268,UMi,CBe,Einasto,b,100000,0.68,8.710925814300643e+27
269,UMi,CBe,Einasto,b,100000,0.95,8.96854984267861e+27
270,UMi,CBe,Einasto,mu,70,0.05,1.8165557526243317e+26
271,UMi,CBe,Einasto,mu,70,0.32,2.299918776748175e+26
272,UMi,CBe,Einasto,mu,70,0.5,2.541083614560275e+26
273,UMi,CBe,Einasto,mu,70,0.68,2.824165886309704e+26
274,UMi,CBe,Einasto,mu,70,0.95,3.730418145011945e+26
275,UMi,CBe,Einasto,mu,100,0.05,2.8820215541383245e+26
276,UMi,CBe,Einasto,mu,100,0.32,3.558820679929499e+26
277,UMi,CBe,Einasto,mu,100,0.5,3.9296616042637495e+26
278,UMi,CBe,Einasto,mu,100,0.68,4.4109619198237856e+26
279,UMi,CBe,Einasto,mu,100,0.95,6.050654641257217e+26
280,UMi,CBe,Einasto,mu,200,0.05,5.203694253214889e+26
281,UMi,CBe,Einasto,mu,200,0.32,6.474598067584397e+26
282,UMi,CBe,Einasto,mu,200,0.5,7.284929683033957e+26
283,UMi,CBe,Einasto,mu,200,0.68,8.335981907815407e+26
284,UMi,CBe,Einasto,mu,200,0.95,1.1300852261060152e+27
285,UMi,CBe,Einasto,mu,500,0.05,8.883604245765481e+26
286,UMi,CBe,Einasto,mu,500,0.32,1.100084195903999e+27
287,UMi,CBe,Einasto,mu,500,0.5,1.2412185590572777e+27
288,UMi,CBe,Einasto,mu,500,0.68,1.4174697847192848e+27
289,UMi,CBe,Einasto,mu,500,0.95,1.8686883547407103e+27
290,UMi,CBe,Einasto,mu,1000,0.05,1.2701778238009423e+27
291,UMi,CBe,Einasto,mu,1000,0.32,1.5793211264597677e+27
292,UMi,CBe,Einasto,mu,1000,0.5,1.835555999934697e+27
293,UMi,CBe,Einasto,mu,1000,0.68,2.1002359022092572e+27
294,UMi,CBe,Einasto,mu,1000,0.95,2.733817322939575e+27
295,UMi,CBe,Einasto,mu,5000,0.05,2.373996568965276e+27
296,UMi,CBe,Einasto,mu,5000,0.32,3.0342725063091023e+27
297,UMi,CBe,Einasto,mu,5000,0.5,3.4069010483218873e+27
298,UMi,CBe,Einasto,mu,5000,0.68,3.76880246323372e+27
299,UMi,CBe,Einasto,mu,5000,0.95,4.8315529848728407e+27
300,UMi,CBe,Einasto,mu,10000,0.05,2.4184116575114505e+27
301,UMi,CBe,Einasto,mu,10000,0.32,3.084815176851815e+27
302,UMi,CBe,Einasto,mu,10000,0.5,3.448699971666396e+27
303,UMi,CBe,Einasto,mu,10000,0.68,3.868932226977292e+27
304,UMi,CBe,Einasto,mu,10000,0.95,4.711310816043531e+27
305,UMi,CBe,Einasto,mu,50000,0.05,1.5961260035801337e+27
306,UMi,CBe,Einasto,mu,50000,0.32,2.1829583135255445e+27
307,UMi,CBe,Einasto,mu,50000,0.5,2.437557395982335e+27
308,UMi,CBe,Einasto,mu,50000,0.68,2.761108967709374e+27
309,UMi,CBe,Einasto,mu,50000,0.95,3.540064351481701e+27
310,UMi,CBe,Einasto,mu,100000,0.05,1.1426710874179855e+27
311,UMi,CBe,Einasto,mu,100000,0.32,1.4960740090583363e+27
312,UMi,CBe,Einasto,mu,100000,0.5,1.7837041426860993e+27
313,UMi,CBe,Einasto,mu,100000,0.68,2.0349096195287983e+27
314,UMi,CBe,Einasto,mu,100000,0.95,2.725903578761889e+27
315,UMi,CBe,Einasto,tau,70,0.05,5.356793755908285e+26
316,UMi,CBe,Einasto,tau,70,0.32,6.392745905171924e+26
317,UMi,CBe,Einasto,tau,70,0.5,6.97097156754984e+26
318,UMi,CBe,Einasto,tau,70,0.68,7.697255722964949e+26
319,UMi,CBe,Einasto,tau,70,0.95,1.0210317500489226e+27
320,UMi,CBe,Einasto,tau,100,0.05,9.917451794607483e+26
321,UMi,CBe,Einasto,tau,100,0.32,1.2323037956032626e+27
322,UMi,CBe,Einasto,tau,100,0.5,1.3220377541649516e+27
323,UMi,CBe,Einasto,tau,100,0.68,1.4530234912787885e+27
324,UMi,CBe,Einasto,tau,100,0.95,1.8325234952492657e+27
325,UMi,CBe,Einasto,tau,200,0.05,2.157569993761619e+27
326,UMi,CBe,Einasto,tau,200,0.32,2.725822618447031e+27
327,UMi,CBe,Einasto,tau,200,0.5,2.909282077014399e+27
328,UMi,CBe,Einasto,tau,200,0.68,3.114714683287364e+27
329,UMi,CBe,Einasto,tau,200,0.95,3.702749727113673e+27
330,UMi,CBe,Einasto,tau,500,0.05,3.359344883828972e+27
331,UMi,CBe,Einasto,tau,500,0.32,3.89911730603406e+27
332,UMi,CBe,Einasto,tau,500,0.5,4.213876235896378e+27
333,UMi,CBe,Einasto,tau,500,0.68,4.569547895852903e+27
334,UMi,CBe,Einasto,tau,500,0.95,5.340389457996243e+27
335,UMi,CBe,Einasto,tau,1000,0.05,4.226640670303181e+27
336,UMi,CBe,Einasto,tau,1000,0.32,4.95066274601456e+27
337,UMi,CBe,Einasto,tau,1000,0.5,5.286336758800872e+27
338,UMi,CBe,Einasto,tau,1000,0.68,5.602659964662152e+27
339,UMi,CBe,Einasto,tau,1000,0.95,6.380435870939363e+27
340,UMi,CBe,Einasto,tau,5000,0.05,6.721675791647936e+27
341,UMi,CBe,Einasto,tau,5000,0.32,7.662064385281395e+27
342,UMi,CBe,Einasto,tau,5000,0.5,7.900984619226117e+27
343,UMi,CBe,Einasto,tau,5000,0.68,8.122763903386513e+27
344,UMi,CBe,Einasto,tau,5000,0.95,8.525922527981135e+27
