,src1,src2,src3,src4,src5,src6,src7,src8,profile,ch,mass,quantile,tau
90,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.05,2.6937586692880345e+25
91,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.32,3.7719158815792523e+25
92,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.5,4.509083588577418e+25
93,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.68,5.028464411292055e+25
94,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,100,0.95,6.4494336465981e+25
95,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.05,5.361601871733163e+25
96,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.32,7.268726584779341e+25
97,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.5,8.042805015917308e+25
98,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.68,9.509346723256733e+25
99,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,200,0.95,1.302488619167392e+26
100,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.05,9.313191435235463e+25
101,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.32,1.2364172405267752e+26
102,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.5,1.4732163753654883e+26
103,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.68,1.6594406251442868e+26
104,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,500,0.95,2.3841897373738e+26
105,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.05,1.409311305216123e+26
106,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.32,1.968035282784461e+26
107,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.5,2.3633907867345986e+26
108,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.68,2.907988137378901e+26
109,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,1000,0.95,4.071974940378322e+26
110,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.05,2.510223009529479e+26
111,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.32,3.833589873021869e+26
112,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.5,4.342180035732071e+26
113,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.68,5.86457694620795e+26
114,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,5000,0.95,8.064728763717512e+26
115,CBe,DraI,RetII,Scl,SgrII,UMaII,UMi,Wil1,Einasto,mu,10000,0.05,2.845715319059796e+26
